App,Category,Rating,Reviews,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Size in MB
ShopSavvy Barcode & QR Scanner,SHOPPING,4.1,110425,10000000,Free,0.0,Everyone,Shopping,18-06-2018,13.6.4,4.0.3 and up,27.0
"Savory - Deals,Freebies,Sales",SHOPPING,4.4,2375,100000,Free,0.0,Everyone,Shopping,02-11-2016,3.1,2.3.3 and up,1.1
Newegg Mobile,SHOPPING,4.5,35497,1000000,Free,0.0,Everyone,Shopping,11-07-2018,4.16.0,4.4 and up,16.0
REI – Shop Outdoor Gear,SHOPPING,4.4,3878,100000,Free,0.0,Everyone,Shopping,08-05-2018,5.6.8,4.1 and up,8.8
The Home Depot,SHOPPING,4.3,44071,5000000,Free,0.0,Everyone,Shopping,19-07-2018,5.10,4.4 and up,56.0
La La-Shop Designer Brands Street,SHOPPING,4.5,5123,500000,Free,0.0,Everyone,Shopping,28-07-2018,4.4.4,5.0 and up,14.0
TouchNote: Cards & Gifts,PHOTOGRAPHY,4.1,19232,1000000,Free,0.0,Everyone,Photography,06-08-2018,7.4.2,4.4 and up,28.0
"Shutterfly: Free Prints, Photo Books, Cards, Gifts",PHOTOGRAPHY,4.6,98716,5000000,Free,0.0,Everyone,Photography,01-08-2018,5.13.1,5.0 and up,59.0
FreePrints – Free Photos Delivered,PHOTOGRAPHY,4.8,109500,1000000,Free,0.0,Everyone,Photography,02-08-2018,2.18.2,4.1 and up,37.0
Groovebook Photo Books & Gifts,PHOTOGRAPHY,4.0,21159,500000,Free,0.0,Everyone,Photography,31-01-2018,2.1.9,4.0.3 and up,36.0
"Moony Lab - Print Photos, Books & Magnets ™",PHOTOGRAPHY,4.7,1320,50000,Free,0.0,Everyone,Photography,27-06-2018,2.1.9,4.1 and up,9.5
"LALALAB prints your photos, photobooks and magnets",PHOTOGRAPHY,4.7,50424,1000000,Free,0.0,Everyone,Photography,02-08-2018,584,4.1 and up,82.0
Snapfish,PHOTOGRAPHY,4.1,32398,1000000,Free,0.0,Everyone,Photography,01-08-2018,9.6.4,4.4 and up,28.0
HD Camera - Best Cam with filters & panorama,PHOTOGRAPHY,4.5,38953,5000000,Free,0.0,Everyone,Photography,26-07-2018,2.2.4,4.2 and up,9.7
"Face Filter, Selfie Editor - Sweet Camera",PHOTOGRAPHY,4.7,142634,10000000,Free,0.0,Everyone,Photography,06-07-2018,1.5.1,4.4 and up,22.0
LightX Photo Editor & Photo Effects,PHOTOGRAPHY,4.7,259450,10000000,Free,0.0,Everyone,Photography,24-05-2018,1.0.4,4.1 and up,17.0
HD Camera - Quick Snap Photo & Video,PHOTOGRAPHY,4.5,21841,1000000,Free,0.0,Everyone,Photography,24-07-2018,1.6.4,4.2 and up,7.7
Waterfall Photo Frames,PHOTOGRAPHY,4.5,10349,1000000,Free,0.0,Everyone,Photography,29-07-2017,1.6.0,2.3 and up,11.0
Photo frame,PHOTOGRAPHY,4.5,859,100000,Free,0.0,Everyone,Photography,18-07-2018,1.5.1,4.0.3 and up,21.0
Huji Cam,PHOTOGRAPHY,4.4,40289,5000000,Free,0.0,Everyone,Photography,11-07-2018,2.2,5.0 and up,19.0
HD Camera,PHOTOGRAPHY,4.3,49680,5000000,Free,0.0,Everyone,Photography,11-07-2018,1.8.5,4.2 and up,8.7
Makeup Editor -Beauty Photo Editor & Selfie Camera,PHOTOGRAPHY,4.5,3378,1000000,Free,0.0,Mature 17+,Photography,25-07-2018,1.7,4.1 and up,30.0
Makeup Photo Editor: Makeup Camera & Makeup Editor,PHOTOGRAPHY,4.4,10525,1000000,Free,0.0,Everyone,Photography,27-07-2018,8.9.9,4.0 and up,25.0
Moto Photo Editor,PHOTOGRAPHY,3.3,3492,5000000,Free,0.0,Everyone,Photography,14-06-2018,1.5.3.8,7.0 and up,17.0
Garden Photo Frames - Garden Photo Editor,PHOTOGRAPHY,4.4,1864,500000,Free,0.0,Everyone,Photography,03-05-2018,22.0,4.0.3 and up,13.0
Photo Frame,PHOTOGRAPHY,4.5,74476,10000000,Free,0.0,Everyone,Photography,19-06-2018,1.6,4.0 and up,23.0
"Sweet Snap Lite - live filter, Selfie photo editor",PHOTOGRAPHY,4.5,3116,500000,Free,0.0,Everyone,Photography,03-08-2018,2.15.180,4.0.3 and up,22.0
"Selfie Camera: Beauty Camera, Photo Editor,Collage",PHOTOGRAPHY,4.7,31985,1000000,Free,0.0,Everyone,Photography,06-08-2018,1.7.14,4.2 and up,9.1
Night Photo Frame,PHOTOGRAPHY,4.5,4400,1000000,Free,0.0,Everyone,Photography,28-07-2018,2.0.1,4.0.3 and up,8.3
Selfie Photo Editor,PHOTOGRAPHY,4.6,11677,1000000,Free,0.0,Everyone,Photography,05-07-2018,1.0.3,4.4 and up,19.0
BeautyPlus - Easy Photo Editor & Selfie Camera,PHOTOGRAPHY,4.4,3158047,100000000,Free,0.0,Everyone,Photography,31-07-2018,6.9.031,4.1 and up,53.0
My Photo Keyboard,PHOTOGRAPHY,4.3,56114,10000000,Free,0.0,Everyone,Photography,09-07-2018,2.6,2.3 and up,17.0
Kids Photo Frames,PHOTOGRAPHY,4.6,15700,1000000,Free,0.0,Everyone,Photography,07-07-2018,2.3,4.0.3 and up,10.0
"Pretty Makeup, Beauty Photo Editor & Snappy Camera",PHOTOGRAPHY,4.5,26361,5000000,Free,0.0,Everyone,Photography,25-07-2018,5.3,4.1 and up,29.0
Photo Collage - Layout Editor,PHOTOGRAPHY,4.5,285788,10000000,Free,0.0,Everyone,Photography,04-12-2017,1.8.0.170824_9,5.0 - 8.0,46.0
DSLR Camera Hd Ultra Professional,PHOTOGRAPHY,4.2,4410,1000000,Free,0.0,Everyone,Photography,27-06-2018,4.1,4.0.3 and up,4.5
Snap Cat Face Camera,PHOTOGRAPHY,4.0,5855,1000000,Free,0.0,Everyone,Photography,12-07-2018,1.6,2.3 and up,4.9
"Sweet Camera - Selfie Filters, Beauty Camera",PHOTOGRAPHY,4.7,233039,10000000,Free,0.0,Everyone,Photography,28-07-2018,1.5.3,4.4 and up,24.0
Photo Frames,PHOTOGRAPHY,4.3,28578,10000000,Free,0.0,Everyone,Photography,28-07-2018,6.21,4.0 and up,23.0
"Sweet Selfie - selfie camera, beauty cam, photo edit",PHOTOGRAPHY,4.6,1159058,100000000,Free,0.0,Everyone,Photography,03-08-2018,2.73.672,4.0.3 and up,25.0
"Candy selfie - photo editor, live filter camera",PHOTOGRAPHY,4.4,53421,10000000,Free,0.0,Everyone,Photography,06-08-2018,2.74.685,4.0.3 and up,26.0
Open Camera,PHOTOGRAPHY,4.3,116880,10000000,Free,0.0,Everyone,Photography,23-04-2018,1.43.3,4.0.3 and up,2.0
Beauty Makeup – Photo Makeover,PHOTOGRAPHY,4.3,21730,1000000,Free,0.0,Everyone,Photography,23-05-2018,1.6.0,4.0 and up,19.0
Blur Image Background Editor (Blur Photo Editor),PHOTOGRAPHY,4.4,62421,5000000,Free,0.0,Everyone,Photography,28-07-2018,2.4,4.1 and up,9.6
Muzy - Share photos & collages,PHOTOGRAPHY,4.4,70189,5000000,Free,0.0,Teen,Photography,11-08-2015,4.0.10,4.0 and up,13.0
QuickPic - Photo Gallery with Google Drive Support,PHOTOGRAPHY,4.6,847159,10000000,Free,0.0,Everyone,Photography,10-11-2017,4.7.4,4.0 and up,4.2
Flickr,PHOTOGRAPHY,4.3,251951,10000000,Free,0.0,Mature 17+,Photography,11-07-2018,4.7.3,4.4 and up,16.0
Camera for Android,PHOTOGRAPHY,4.2,240475,10000000,Free,0.0,Everyone,Photography,22-11-2017,3.8,4.0 and up,9.5
Photo Mixer,PHOTOGRAPHY,3.9,55427,10000000,Free,0.0,Everyone,Photography,25-03-2016,5.1,2.3.3 and up,6.6
Wondershare PowerCam,PHOTOGRAPHY,4.2,329160,10000000,Free,0.0,Everyone,Photography,29-05-2018,3.1.8.180529,2.3 and up,27.0
love,PHOTOGRAPHY,4.3,42677,1000000,Free,0.0,Everyone,Photography,15-06-2018,1.28,4.0.3 and up,22.0
InstaSize Photo Filters & Collage Editor,PHOTOGRAPHY,4.3,811693,50000000,Free,0.0,Everyone,Photography,02-08-2018,4.0.26,4.4 and up,50.0
"KVAD Camera +: Selfie, Photo Filter, Grids",PHOTOGRAPHY,4.1,23440,1000000,Free,0.0,Everyone,Photography,11-07-2018,1.8.2,4.0 and up,30.0
Photo Editor,PHOTOGRAPHY,4.3,42079,1000000,Free,0.0,Everyone,Photography,24-09-2015,Varies with device,4.0.3 and up,17.0
Camera51 - a smarter camera,PHOTOGRAPHY,4.0,29707,1000000,Free,0.0,Everyone,Photography,10-02-2015,1.1.6,4.0 and up,18.0
InstaCam - Camera for Selfie,PHOTOGRAPHY,4.0,15098,1000000,Free,0.0,Everyone,Photography,03-03-2017,1.43,2.3 and up,10.0
"Phogy, 3D Camera",PHOTOGRAPHY,4.0,35724,1000000,Free,0.0,Everyone,Photography,11-02-2015,1.40,4.0 and up,9.9
Sweet Camera,PHOTOGRAPHY,4.4,71898,5000000,Free,0.0,Everyone,Photography,10-10-2017,6.1.7.100920,4.0.3 and up,23.0
Camera360: Selfie Photo Editor with Funny Sticker,PHOTOGRAPHY,4.3,4865093,100000000,Free,0.0,Everyone,Photography,06-08-2018,9.3.1,4.0.3 and up,51.0
RetroSelfie - Selfie Editor,PHOTOGRAPHY,4.1,106080,10000000,Free,0.0,Everyone,Photography,27-06-2018,6.1.6,4.1 and up,35.0
Mega Photo,PHOTOGRAPHY,4.2,44941,1000000,Free,0.0,Everyone,Photography,19-10-2016,1.6.2,3.0 and up,16.0
Blur Image Background,PHOTOGRAPHY,3.9,129272,10000000,Free,0.0,Everyone,Photography,30-07-2018,1.32,4.1 and up,11.0
MIX by Camera360,PHOTOGRAPHY,4.4,111066,5000000,Free,0.0,Everyone,Photography,03-08-2018,4.8.7,4.0.3 and up,74.0
Facetune - For Free,PHOTOGRAPHY,4.4,49553,1000000,Paid,5.99,Everyone,Photography,25-07-2018,1.3.1,4.1 and up,48.0
Camera FV-5 Lite,PHOTOGRAPHY,4.0,130081,10000000,Free,0.0,Everyone,Photography,10-11-2017,3.31.4,4.0 and up,5.6
HD Camera Ultra,PHOTOGRAPHY,4.3,462152,10000000,Free,0.0,Everyone,Photography,17-10-2015,2.3.1,Varies with device,1.5
Cameringo Lite. Filters Camera,PHOTOGRAPHY,4.2,140917,10000000,Free,0.0,Everyone,Photography,11-06-2018,2.2.93,4.0 and up,5.7
Camera ZOOM FX - FREE,PHOTOGRAPHY,4.0,88860,5000000,Free,0.0,Everyone,Photography,06-04-2017,6.2.9,2.3 and up,6.1
HD Camera Pro for Android,PHOTOGRAPHY,4.1,49211,1000000,Free,0.0,Everyone,Photography,19-01-2017,1.5.5,2.1 and up,1.9
HD Camera for Android,PHOTOGRAPHY,4.1,351254,10000000,Free,0.0,Everyone,Photography,29-06-2018,4.6.0.0,4.2 and up,4.0
GoPro (formerly Capture),PHOTOGRAPHY,4.0,157506,10000000,Free,0.0,Everyone,Photography,24-05-2018,4.5.2,5.0 and up,47.0
Samsung SMART CAMERA App,PHOTOGRAPHY,4.0,34753,1000000,Free,0.0,Everyone,Photography,03-07-2018,1.4.0_180703,4.2 and up,22.0
Square InPic - Photo Editor & Collage Maker,PHOTOGRAPHY,4.4,635846,50000000,Free,0.0,Everyone,Photography,23-05-2018,4.2.14,4.0 and up,14.0
"High-Speed Camera (GIF,Burst)",PHOTOGRAPHY,4.1,78140,5000000,Free,0.0,Everyone,Photography,11-02-2018,5.5.2,4.0.3 and up,10.0
Lapse It • Time Lapse • Pro,PHOTOGRAPHY,4.3,12865,100000,Paid,2.99,Everyone,Photography,06-11-2014,4.70,2.2 and up,6.9
EyeEm - Camera & Photo Filter,PHOTOGRAPHY,4.2,215343,10000000,Free,0.0,Everyone,Photography,14-07-2018,6.4.3,4.0.3 and up,44.0
PhotoWonder: Pro Beauty Photo Editor Collage Maker,PHOTOGRAPHY,4.4,852649,50000000,Free,0.0,Teen,Photography,26-06-2018,4.1.0.1,4.2 and up,43.0
Photo Effects Pro,PHOTOGRAPHY,4.4,1494491,50000000,Free,0.0,Everyone,Photography,21-03-2017,3.3.8,3.1 and up,21.0
No Crop & Square for Instagram,PHOTOGRAPHY,4.6,819774,10000000,Free,0.0,Everyone,Photography,26-06-2018,4.2.3,4.0 and up,25.0
Picture Grid Builder,PHOTOGRAPHY,4.0,33439,5000000,Free,0.0,Everyone,Photography,18-07-2016,3.2,2.3.3 and up,3.9
Photo Studio,PHOTOGRAPHY,4.2,477831,10000000,Free,0.0,Everyone,Photography,28-07-2018,2.0.17.9,4.0 and up,51.0
FilterGrid - Cam&Photo Editor,PHOTOGRAPHY,4.6,126337,1000000,Free,0.0,Everyone,Photography,15-03-2017,2.0.5,4.0 and up,9.6
Pic Stitch - #1 Collage Maker,PHOTOGRAPHY,4.2,15426,1000000,Free,0.0,Everyone,Photography,24-07-2018,3.8.3,5.1 and up,50.0
Photo Editor by Aviary,PHOTOGRAPHY,4.4,1490732,50000000,Free,0.0,Everyone,Photography,19-07-2018,4.8.4,4.1 and up,21.0
Pixlr – Free Photo Editor,PHOTOGRAPHY,4.4,1163232,50000000,Free,0.0,Everyone,Photography,20-07-2018,3.4.0,4.0.3 and up,31.0
PicsArt Photo Studio: Collage Maker & Pic Editor,PHOTOGRAPHY,4.5,7594559,100000000,Free,0.0,Teen,Photography,06-08-2018,9.40.3,4.0.3 and up,34.0
Color Touch Effects,PHOTOGRAPHY,3.8,167652,10000000,Free,0.0,Everyone,Photography,23-04-2018,4.5,4.1 and up,12.0
"Z Camera - Photo Editor, Beauty Selfie, Collage",PHOTOGRAPHY,4.4,1075277,100000000,Free,0.0,Mature 17+,Photography,03-08-2018,4.21,4.1 and up,47.0
Pixgram- video photo slideshow,PHOTOGRAPHY,4.2,93726,5000000,Free,0.0,Everyone,Photography,08-07-2018,2.0.18,4.3 and up,9.2
Font Studio- Photo Texts Image,PHOTOGRAPHY,4.2,197295,10000000,Free,0.0,Everyone,Photography,23-06-2017,4.0.7,4.0 and up,24.0
Add Text To Photo,PHOTOGRAPHY,4.1,21578,1000000,Free,0.0,Everyone,Photography,08-09-2017,1.1.3,2.3 and up,1.6
Phonto - Text on Photos,PHOTOGRAPHY,4.3,307453,10000000,Free,0.0,Everyone,Photography,26-10-2017,1.7.16,4.0.3 and up,17.0
Collage&Add Stickers papelook,PHOTOGRAPHY,4.0,32896,5000000,Free,0.0,Everyone,Photography,14-03-2018,3.3.5,2.3.3 and up,31.0
Photo Collage - InstaMag,PHOTOGRAPHY,4.3,542561,10000000,Free,0.0,Everyone,Photography,02-01-2018,4.7.0,4.0 and up,46.0
"Meitu – Beauty Cam, Easy Photo Editor",PHOTOGRAPHY,4.5,462702,10000000,Free,0.0,Everyone,Photography,01-08-2018,8.1.0.6,4.3 and up,45.0
Free Sports TV,SPORTS,4.3,1802,100000,Free,0.0,Everyone,Sports,21-06-2018,1.4,4.0.3 and up,9.8
"theScore: Live Sports Scores, News, Stats & Videos",SPORTS,4.4,133825,10000000,Free,0.0,Everyone 10+,Sports,25-07-2018,6.17.2,4.4 and up,34.0
Onefootball - Soccer Scores,SPORTS,4.7,911995,10000000,Free,0.0,Everyone,Sports,01-08-2018,10.8.1.330,4.4 and up,20.0
Cristiano Ronaldo Wallpaper,SPORTS,4.6,1733,500000,Free,0.0,Everyone,Sports,17-07-2018,2.1,4.1 and up,19.0
"FIFA - Tournaments, Soccer News & Live Scores",SPORTS,4.2,342909,10000000,Free,0.0,Everyone,Sports,03-08-2018,4.3.1,4.4 and up,6.0
kicker football news,SPORTS,4.3,56270,5000000,Free,0.0,Everyone,Sports,03-08-2018,5.4.2,5.0 and up,15.0
Football Live Scores,SPORTS,4.5,107724,5000000,Free,0.0,Everyone,Sports,31-07-2018,1004.0,4.0 and up,6.5
Pro 2018 - Series A and B,SPORTS,4.6,101455,5000000,Free,0.0,Everyone,Sports,03-08-2018,2.24.2.0,4.0.3 and up,6.2
MARCA - Sports Leader Diary,SPORTS,3.9,76346,5000000,Free,0.0,Everyone,Sports,25-07-2018,6.3.3,4.1 and up,14.0
"Foot Mercato: transfers, results, news, live",SPORTS,4.3,39878,1000000,Free,0.0,Everyone,Sports,28-07-2018,3.6.7,4.1 and up,6.1
All Football - Latest News & Videos,SPORTS,4.6,152867,10000000,Free,0.0,Everyone,Sports,03-08-2018,3.0.5,4.1 and up,17.0
Premier League - Official App,SPORTS,4.3,63580,5000000,Free,0.0,Everyone,Sports,20-07-2018,1.1.5,4.1 and up,24.0
beIN SPORTS TR,SPORTS,4.0,135763,10000000,Free,0.0,Everyone,Sports,02-08-2018,1.5.13,4.1 and up,13.0
ESPN Fantasy Sports,SPORTS,4.0,176448,5000000,Free,0.0,Everyone,Sports,21-11-2017,5.3.0,4.4 and up,10.0
"All Football GO- Live Score, Games",SPORTS,4.6,1981,100000,Free,0.0,Everyone,Sports,21-06-2018,2.9.9go,4.1 and up,10.0
Top Mercato: football news,SPORTS,4.3,16016,1000000,Free,0.0,Everyone,Sports,07-01-2016,2.7.0,4.2 and up,6.9
GollerCepte Live Score,SPORTS,4.2,9992,1000000,Free,0.0,Everyone,Sports,23-05-2018,6.5,4.1 and up,31.0
Hovercraft Racer,SPORTS,4.0,218,100000,Free,0.0,Everyone,Sports,19-07-2018,5.0,4.1 and up,28.0
World Cup 2018,SPORTS,4.6,4011,500000,Free,0.0,Teen,Sports,01-07-2018,1.0.16,2.3 and up,2.6
GollerCepte 1903,SPORTS,4.7,25172,500000,Free,0.0,Everyone,Sports,23-05-2018,5.5,4.1 and up,30.0
League18,SPORTS,4.3,14123,500000,Free,0.0,Everyone,Sports,01-08-2018,4.0.0,4.0 and up,13.0
Speed Boat Racing,SPORTS,4.0,2487,1000000,Free,0.0,Everyone,Sports,03-08-2018,12.0,4.0.3 and up,27.0
La Liga - Spanish Soccer League Official,SPORTS,4.5,180938,10000000,Free,0.0,Everyone,Sports,24-07-2018,6.4.8,4.0.3 and up,29.0
Lionel Messi Wallpapers,SPORTS,4.7,950,100000,Free,0.0,Everyone,Sports,17-07-2018,2.6,4.1 and up,18.0
Goal Live Scores,SPORTS,4.4,232423,5000000,Free,0.0,Everyone,Sports,11-06-2018,4.2.2,4.0.3 and up,35.0
The 5th Stand,SPORTS,4.8,1664,100000,Free,0.0,Everyone,Sports,31-07-2018,1.2.677,4.4 and up,17.0
U + professional baseball,SPORTS,4.3,2486,500000,Free,0.0,Everyone,Sports,30-07-2018,06.11.00,4.4 and up,18.0
Mercato foot by Maxifoot,SPORTS,4.4,697,100000,Free,0.0,Everyone,Sports,16-03-2017,1.1,4.1 and up,3.0
MLB Ballpark,SPORTS,3.9,5510,1000000,Free,0.0,Everyone,Sports,16-07-2018,7.3.0,4.2 and up,32.0
MUTV - Manchester United TV,SPORTS,4.4,4549,500000,Free,0.0,Everyone,Sports,01-08-2018,2.4.0,4.1 and up,24.0
WatchESPN,SPORTS,4.1,288809,10000000,Free,0.0,Everyone,Sports,27-09-2017,2.5.1,4.4 and up,6.6
CBS Sports Fantasy,SPORTS,4.0,43611,1000000,Free,0.0,Everyone,Sports,27-06-2018,3.17.0+3,5.0 and up,27.0
NBC Sports,SPORTS,3.1,78442,5000000,Free,0.0,Everyone,Sports,22-06-2018,5.12.4,4.1 and up,25.0
NBC Sports Gold,SPORTS,2.9,3017,100000,Free,0.0,Everyone,Sports,02-07-2018,3.7,4.1 and up,24.0
Telemundo Deportes - Live,SPORTS,4.5,36255,1000000,Free,0.0,Everyone,Sports,01-08-2018,5.10.5,4.1 and up,25.0
SwingAid - Level up Golf,SPORTS,4.3,752,100000,Free,0.0,Everyone,Sports,10-07-2018,2.6.3,4.1 and up,33.0
Golf Channel,SPORTS,4.1,19230,1000000,Free,0.0,Everyone,Sports,30-05-2018,4.5.19.56,4.1 and up,88.0
The Rules of Golf,SPORTS,4.3,926,100000,Free,0.0,Everyone,Sports,17-01-2018,5.9,4.1 and up,9.3
Zepp Golf Swing Analyzer,SPORTS,4.4,2020,100000,Free,0.0,Everyone,Sports,24-05-2018,4.4.0,5.0 and up,84.0
Live Golf Scores - US & European Golf,SPORTS,4.2,798,50000,Free,0.0,Everyone 10+,Sports,01-08-2018,3.5,4.0 and up,4.7
Golfshot: Golf GPS + Tee Times,SPORTS,4.3,7543,500000,Free,0.0,Everyone,Sports,11-07-2018,1.31.0,4.1 and up,25.0
PGA TOUR LIVE,SPORTS,3.4,1845,100000,Free,0.0,Everyone,Sports,07-06-2017,1.3.0,4.2 and up,12.0
Mobitee GPS Golf Free,SPORTS,4.2,1904,100000,Free,0.0,Everyone,Sports,11-06-2018,2.0.22,2.3 and up,9.9
GolfLogix GPS + Putt Breaks,SPORTS,4.0,11085,1000000,Free,0.0,Everyone,Sports,21-06-2018,8.9.3,4.0.3 and up,61.0
Golfshot Plus: Golf GPS,SPORTS,4.1,3387,50000,Paid,29.99,Everyone,Sports,11-07-2018,4.18.0,4.1 and up,25.0
PGA TOUR,SPORTS,4.0,11151,1000000,Free,0.0,Everyone,Sports,27-06-2018,2018.6,5.0 and up,52.0
FanDuel: Daily Fantasy Sports,SPORTS,4.6,29673,1000000,Free,0.0,Mature 17+,Sports,06-08-2018,2.46.1,5.0 and up,57.0
DraftKings - Daily Fantasy Sports,SPORTS,4.5,50017,1000000,Free,0.0,Adults only 18+,Sports,24-07-2018,3.21.324,4.4 and up,41.0
Fantasy Football Manager (FPL),SPORTS,4.4,63650,1000000,Free,0.0,Everyone,Sports,03-08-2018,7.0.2,4.1 and up,4.6
Fantasy Football,SPORTS,3.5,50179,1000000,Free,0.0,Everyone,Sports,02-08-2018,2.5.7.1,5.0 and up,23.0
US Open Tennis Championships 2018,SPORTS,4.0,9971,1000000,Free,0.0,Everyone,Sports,05-06-2018,7.1,5.0 and up,33.0
Live Tennis Rankings / LTR,SPORTS,4.8,1660,10000,Free,0.0,Everyone,Sports,05-06-2018,3.9,4.0.3 and up,4.7
Tennis Livescore Widget,SPORTS,4.1,361,50000,Free,0.0,Everyone,Sports,13-10-2016,1.0,2.3 and up,2.2
"The Championships, Wimbledon 2018",SPORTS,4.3,24082,1000000,Free,0.0,Everyone,Sports,04-07-2018,6.5,4.4 and up,95.0
Tennis 24 - tennis live scores,SPORTS,4.6,990,100000,Free,0.0,Everyone,Sports,18-07-2018,2.28.1,4.1 and up,9.4
"Yahoo Sports - scores, stats, news, & highlights",SPORTS,4.5,32386,1000000,Free,0.0,Everyone,Sports,01-08-2018,7.8.0,5.1 and up,19.0
Tennis News and Scores,SPORTS,4.3,101,10000,Free,0.0,Everyone,Sports,15-07-2018,5.4,4.1 and up,3.9
MSN Sports - Scores & Schedule,SPORTS,4.5,35394,500000,Free,0.0,Everyone,Sports,05-07-2018,1.2.0,4.2 and up,21.0
"FOX Sports: Live Streaming, Scores & News",SPORTS,4.0,28895,5000000,Free,0.0,Teen,Sports,02-08-2018,4.4.15,5.0 and up,82.0
NCAA March Madness Live,SPORTS,4.1,34123,5000000,Free,0.0,Everyone,Sports,30-03-2018,7.1.0,5.0 and up,19.0
SportsManias Fantasy Team News,SPORTS,3.5,4057,500000,Free,0.0,Everyone,Sports,10-05-2018,3.2.12,4.0.3 and up,26.0
Thuuz Sports,SPORTS,4.5,5517,500000,Free,0.0,Everyone,Sports,03-04-2018,6.9.12,2.3 and up,5.2
NCAA Sports,SPORTS,3.9,4272,500000,Free,0.0,Everyone,Sports,23-04-2018,3.0.13,4.1 and up,16.0
365Scores - Live Scores,SPORTS,4.6,666521,10000000,Free,0.0,Everyone,Sports,29-07-2018,5.5.9,4.1 and up,25.0
Fantasy Football & NFL News,SPORTS,4.5,2943,100000,Free,0.0,Everyone,Sports,15-05-2018,6.1.3,2.3.3 and up,8.1
NBA,SPORTS,4.4,108318,10000000,Free,0.0,Everyone,Sports,09-07-2018,2017.7.1,4.4 and up,35.0
NHL,SPORTS,4.0,68935,5000000,Free,0.0,Everyone,Sports,27-06-2018,9.4.0,4.2 and up,48.0
NASCAR MOBILE,SPORTS,4.2,80900,1000000,Free,0.0,Everyone,Sports,25-07-2018,7.1.7.4,4.4 and up,21.0
"Expedia Hotels, Flights & Car Rental Travel Deals",TRAVEL_AND_LOCAL,4.1,136626,10000000,Free,0.0,Everyone,Travel & Local,06-08-2018,18.30.0,5.0 and up,14.0
TripIt: Travel Organizer,TRAVEL_AND_LOCAL,4.4,49190,1000000,Free,0.0,Everyone,Travel & Local,15-06-2018,7.5.0,5.0 and up,25.0
CityMaps2Go Plan Trips Travel Guide Offline Maps,TRAVEL_AND_LOCAL,4.3,64713,1000000,Free,0.0,Everyone,Travel & Local,09-06-2018,10.9.8 (Play),5.0 and up,58.0
"KAYAK Flights, Hotels & Cars",TRAVEL_AND_LOCAL,4.5,216388,10000000,Free,0.0,Everyone,Travel & Local,31-07-2018,Varies with device,Varies with device,19.0
Skyscanner,TRAVEL_AND_LOCAL,4.5,481545,10000000,Free,0.0,Everyone,Travel & Local,06-08-2018,5.48,4.4 and up,29.0
World Travel Guide by Triposo,TRAVEL_AND_LOCAL,4.4,6012,500000,Free,0.0,Everyone,Travel & Local,05-03-2018,4.6.0,4.0.3 and up,81.0
Hostelworld: Hostels & Cheap Hotels Travel App,TRAVEL_AND_LOCAL,4.4,17878,1000000,Free,0.0,Everyone,Travel & Local,16-07-2018,6.7.1,4.1 and up,28.0
GPS Map Free,TRAVEL_AND_LOCAL,4.0,33782,5000000,Free,0.0,Everyone,Travel & Local,11-07-2018,4.6,4.0 and up,7.6
Offline Maps & Navigation,TRAVEL_AND_LOCAL,4.7,192641,5000000,Free,0.0,Everyone,Travel & Local,07-06-2018,17.4.1,4.0.3 and up,33.0
GasBuddy: Find Cheap Gas,TRAVEL_AND_LOCAL,4.6,751551,10000000,Free,0.0,Mature 17+,Travel & Local,02-08-2018,5.2.0 21127,4.4 and up,42.0
Southwest Airlines,TRAVEL_AND_LOCAL,3.9,24781,5000000,Free,0.0,Everyone,Travel & Local,11-07-2018,5.6.1,6.0 and up,8.3
"AT&T Navigator: Maps, Traffic",TRAVEL_AND_LOCAL,3.6,32862,10000000,Free,0.0,Everyone,Travel & Local,06-12-2016,5.10.6.2.8466393,4.1 and up,14.0
AirAsia,TRAVEL_AND_LOCAL,3.9,98585,10000000,Free,0.0,Everyone,Travel & Local,16-07-2018,5.0.4,4.4 and up,37.0
Allegiant,TRAVEL_AND_LOCAL,3.1,5572,1000000,Free,0.0,Everyone,Travel & Local,12-07-2018,5.16.1,4.4 and up,21.0
Amtrak,TRAVEL_AND_LOCAL,3.7,16815,1000000,Free,0.0,Everyone,Travel & Local,15-07-2018,3.1.3,5.0 and up,28.0
JAL (Domestic and international flights),TRAVEL_AND_LOCAL,3.4,2277,1000000,Free,0.0,Everyone,Travel & Local,07-05-2018,4.4.7,4.0.3 and up,27.0
VZ Navigator for Tablets,TRAVEL_AND_LOCAL,3.6,285,500000,Free,0.0,Everyone,Travel & Local,22-01-2018,10.7.8.111,4.2 and up,39.0
"HSL - Tickets, route planner and information",TRAVEL_AND_LOCAL,3.3,256,100000,Free,0.0,Everyone,Travel & Local,01-08-2018,1.1.2,5.0 and up,17.0
VZ Navigator for Galaxy S4,TRAVEL_AND_LOCAL,3.0,2750,5000000,Free,0.0,Everyone,Travel & Local,22-01-2018,10.7.8.111,4.2 and up,39.0
MAIN,TRAVEL_AND_LOCAL,3.6,7081,1000000,Free,0.0,Everyone,Travel & Local,06-08-2018,4.1.21,4.4 and up,51.0
"Yoriza Pension - travel, lodging, pension, camping, caravan, pool villas accommodation discount",TRAVEL_AND_LOCAL,4.8,17882,1000000,Free,0.0,Everyone,Travel & Local,03-08-2018,3.4.5,5.0 and up,86.0
